first_cat,second_cat,titles,product_link,pictures,prices,nb_votes,votes
Animalerie,Alimentation,Felix Tendres Effilés en Gelée - Sélection Mixte 44x85g,https://www.amazon.fr/Felix-Tendres-Effil%C3%A9s-Gel%C3%A9e-S%C3%A9lection/dp/B09HCLZBL7/ref=zg_bs_g_92039525031_d_sccl_1/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/81ZoyC1FzfL._AC_UL900_SR900,600_.jpg",16.69,8010,4.6
Animalerie,Alimentation,"PURINA ONE Bifensis Chat Stérilisé Croquettes au Poulet pour Chats Adultes | Sac de 7,5kg ( l'emballage peut varier)",https://www.amazon.fr/ONE-STERILCAT-PURINA-Chat-St%C3%A9rilis%C3%A9/dp/B0B462WJJY/ref=zg_bs_g_92039525031_d_sccl_2/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/81ZIhAW8EVL._AC_UL900_SR900,600_.jpg",29.89,1473,4.7
Animalerie,Alimentation,"Edgard & Cooper Croquettes Chien, (Poulet Frais, 2.5kg) sans Céréales, Viande fraîche et protéines de qualité, Vrais ingrédients pour Chiens, Hypoallergénique, sans sucres ajoutés",https://www.amazon.fr/Edgard-Cooper-Croquettes-Poulet-Chien/dp/B07JG2QCYK/ref=zg_bs_g_92039525031_d_sccl_3/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/511g3vGhGuL._AC_UL900_SR900,600_.jpg",24.49,1949,4.4
Animalerie,Alimentation,"WHISKAS Repas - 48 Sachets Fraîcheur - La Carte Mixte (4 variétés) - Pâtée pour Chat Adulte en Gelée – Nourriture Humide Complète & Equilibrée, Adaptée aux Chats Stérilisés",https://www.amazon.fr/WHISKAS-Repas-pour-Chat-Nourriture/dp/B0BJQJH6X8/ref=zg_bs_g_92039525031_d_sccl_4/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61Y2ptHu2QL._AC_UL900_SR900,600_.jpg",,2824,4.7
Animalerie,Alimentation,"SHEBA Mini Filets - Sachets Fraîcheur en Sauce, Sélection à la Volaille pour Chat Adulte - 40x85g",https://www.amazon.fr/SHEBA-Mini-Filets-Fra%C3%AEcheur-S%C3%A9lection/dp/B09V1MDKF6/ref=zg_bs_g_92039525031_d_sccl_5/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/51L7Y4tdqdL._AC_UL900_SR900,600_.jpg",17.32,2832,4.6
Animalerie,Alimentation,Iams Vitality - Croquettes Chats Stérilisés - Savoureuses Complètes Équilibrées - Favorise Croissance et Vitalité - Au Poulet Frais – Sans OGM Colorant - Sac Refermable 10kg (L'emballage peut varier),https://www.amazon.fr/Iams-Vitality-Croquettes-Savoureuses-%C3%89quilibr%C3%A9es/dp/B07NRX7QQ6/ref=zg_bs_g_92039525031_d_sccl_6/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/81cRFarzc7L._AC_UL900_SR900,600_.jpg",34.19,2028,4.5
Animalerie,Alimentation,"by Amazon Lot de 32 paquets de nourriture pour chat, mélange de pâtées, 100 g (anciennement Lifelong !)",https://www.amazon.fr/Marque-Amazon-Lifelong-assortis-unit%C3%A9s/dp/B08GD94LQC/ref=zg_bs_g_92039525031_d_sccl_7/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61wVaZpyenL._AC_UL900_SR900,600_.jpg",12.22,4777,4.2
Animalerie,Alimentation,"Tetra Pond Sticks – Alimentation Quotidienne idéale pour tous les Poissons de Bassin – Enrichi en Oligo-éléments, Vitamines essentiels, Caroténoïdes – Ne pollue pas l’eau - 10L",https://www.amazon.fr/Tetra-Pond-Sticks-Aliment-Complet/dp/B000LY0TBA/ref=zg_bs_g_92039525031_d_sccl_8/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/81mzrNxmMfL._AC_UL900_SR900,600_.jpg",17.99,12090,4.7
Animalerie,Alimentation,Eukanuba Chien Adulte Nourriture sèche Pour Grande Race Poulet 15kg,https://www.amazon.fr/Eukanuba-Croquettes-Equilibr%C3%A9e-conservateurs-artificiel/dp/B0015Q0ZQW/ref=zg_bs_g_92039525031_d_sccl_9/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/81SqF02VHKL._AC_UL900_SR900,600_.jpg",40.99,5316,4.3
Animalerie,Alimentation,Aimé - Granulés Lapin Nain et Cochon d'Inde 1kg - Repas Complet - Apports Nutritionnels Garantis avec des Granulés Savoureux à Texture Croquante,https://www.amazon.fr/Aim%C3%A9-Granul%C3%A9s-Nutritionnels-Savoureux-Croquante/dp/B07S747SFW/ref=zg_bs_g_92039525031_d_sccl_10/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61qjS5MhdpL._AC_UL900_SR900,600_.jpg",2.36,1591,4.4
