first_cat,second_cat,titles,product_link,pictures,prices,nb_votes,votes
Cuisine et Maison,Ameublement et décoration,Amazon Basics Drap-housse en microfibre Bleu marine 180 x 200 x 30 cm,https://www.amazon.fr/AmazonBasics-Drap-housse-microfibre-Bleu-marine/dp/B00Q4TNGNY/ref=zg_bs_g_57694031_d_sccl_1/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71QPb7CYk9L._AC_UL900_SR900,600_.jpg",9.21,134006,4.5
Cuisine et Maison,Ameublement et décoration,Protege Matelas 160x200 cm Imperméable Oeko TEX par Dreamzie - Alese 160x200 en Coton Respirant avec 4 Coins Elastiques,https://www.amazon.fr/Prot%C3%A8ge-Matelas-Imperm%C3%A9able-Coins-Elastiques/dp/B07PPTWKPD/ref=zg_bs_g_57694031_d_sccl_2/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/81rLAQkDtgL._AC_UL900_SR900,600_.jpg",19.99,30948,4.4
Cuisine et Maison,Ameublement et décoration,Utopia Bedding Housse de Couette 220x240 cm avec 2 Taies d'oreiller 65x65 cm (Gris) - Parure de lit 220 x 240 cm - Ensembles de Housses de Couette en Microfibre brossée Douce,https://www.amazon.fr/Utopia-Bedding-Parure-Lit-Microfibre/dp/B07KP8563B/ref=zg_bs_g_57694031_d_sccl_3/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/81ahMKZ71SL._AC_UL900_SR900,600_.jpg",20.99,41790,4.5
Cuisine et Maison,Ameublement et décoration,"douceur d'intérieur, Drap Housse (140 x 190 cm) Lina Charbon, 100% Coton",https://www.amazon.fr/Douceur-dInt%C3%A9rieur-Housse-Coton-Charbon/dp/B00B2015MO/ref=zg_bs_g_57694031_d_sccl_4/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71JS4NkrIwL._AC_UL900_SR900,600_.jpg",9.7,26394,4.3
Cuisine et Maison,Ameublement et décoration,PHYTOSUN AROMS - Huile Essentielles Eucalyptus Radié BIO - 100% pure et naturelle - Contribue au confort respiratoire - 10 ml,https://www.amazon.fr/Phytosun-Ar%C3%B4ms-Eucalyptus-Radiata-Bio/dp/B07CX65XMC/ref=zg_bs_g_57694031_d_sccl_5/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71f2+adLlCL._AC_UL900_SR900,600_.jpg",3.2,10891,4.6
Cuisine et Maison,Ameublement et décoration,Dreamzie - Protege Matelas 140x190 cm - Imperméable et Résistant - Alese 140x190 cm - Protection Optimale et Respirante,https://www.amazon.fr/Dreamzie-Imperm%C3%A9able-R%C3%A9sistant-Protection-Respirante/dp/B0CHMV45P6/ref=zg_bs_g_57694031_d_sccl_6/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71i8niBYcSL._AC_UL900_SR900,600_.jpg",19.99,1716,4.4
Cuisine et Maison,Ameublement et décoration,"Utopia Bedding Drap Housse - Blanc, 160 x 200 cm - Coupes de 35 cm pour Matelas épais - Polyester Microfibre brossée",https://www.amazon.fr/Drap-housse-Microfibre-confortable-d%C3%A9coloration-d%C3%A9chirures/dp/B075K75JXY/ref=zg_bs_g_57694031_d_sccl_7/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/5110Zv4+CvL._AC_UL900_SR900,600_.jpg",14.49,77191,4.6
Cuisine et Maison,Ameublement et décoration,Lot de 2 Draps housse Blanc/Gris Babycalin - 60 x 120 cm,https://www.amazon.fr/Babycalin-Draps-Housse-Blanc-Gris/dp/B01N0NQ77B/ref=zg_bs_g_57694031_d_sccl_8/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71+rH4pu1NL._AC_UL900_SR900,600_.jpg",6.9,6269,4.6
Cuisine et Maison,Ameublement et décoration,Voshuiles - Huile Essentielle Romarin Officinalis à Cinéole - 10ml - 100% Pure et Naturelle - HEBBD - Utilisation en Massage dans Huile Végétale - Parfum Très Aromatique - - Entreprise Française,https://www.amazon.fr/Huile-Essentielle-Romarin-Officinalis-10ml/dp/B01KTXZY80/ref=zg_bs_g_57694031_d_sccl_9/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61mFpxBUJIL._AC_UL900_SR900,600_.jpg",3.4,129,4.5
Cuisine et Maison,Ameublement et décoration,"Utopia Bedding Protège Matelas 160 x 200 x 30 cm Imperméable, Certifié Oeko TEX, Alèse Drap Housse, Matelas Couvre, Respirant, Élastique Tout Autour",https://www.amazon.fr/Utopia-Bedding-Prot%C3%A8ge-Matelas-Imperm%C3%A9able-Hypo-allerg%C3%A9nique/dp/B077SWXDS5/ref=zg_bs_g_57694031_d_sccl_10/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/81uAV-GAKdL._AC_UL900_SR900,600_.jpg",18.99,30039,4.6
Cuisine et Maison,Ameublement et décoration,STOF - Drap Housse -Taille 160x200 cm Grand Bonnet 30 cm -100% Coton certifié Oeko-Tex - Couleur Blanc -Modèle Eden - Linge de Lit pour Maison - Doux et Confortable pour Nid Douillet,https://www.amazon.fr/Lovely-Casa-certifi%C3%A9-Oeko-Tex-Confortable/dp/B0BPPCYKKG/ref=zg_bs_g_57694031_d_sccl_11/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61Vi80pohCL._AC_UL900_SR900,600_.jpg",13.5,2528,4.3
Cuisine et Maison,Ameublement et décoration,"Puressentiel - Spray Aérien Assainissant aux 41 Huiles Essentielles - Efficacité prouvée contre les virus, germes et bactéries - 200ml",https://www.amazon.fr/Laboratoire-Puressentiel-A%C3%A9rien-Assainissant-Essentielles/dp/B001NYSS4C/ref=zg_bs_g_57694031_d_sccl_12/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61zV67YWiqL._AC_UL900_SR900,600_.jpg",12.99,20189,4.7
Cuisine et Maison,Ameublement et décoration,PRANARÔM - Romarin à Cinéole - Huile Essentielle Chémotypée - Pour Cosmétiques - 100% Pure Et Naturelle - HECT - 10 ml,https://www.amazon.fr/PRANAR%C3%94M-Gaulth%C3%A9rie-Essentielle-Ch%C3%A9motyp%C3%A9e-Cosm%C3%A9tiques/dp/B07CK16WNM/ref=zg_bs_g_57694031_d_sccl_13/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/711d-ShRq4S._AC_UL900_SR900,600_.jpg",5.49,149,4.7
Cuisine et Maison,Ameublement et décoration,"Fisher-Price Ma Loutre Câlins Bonne Nuit Peluche | Peluche Veilleuse Bébé Musicale et Lumineuse | Veilleuse Doudou Bruit Blanc Bébé | Cadeau Naissance Fille et Garçon Nouveau né, FXC66",https://www.amazon.fr/Fisher-Price-appaisante-battements-respiration-FXC66/dp/B07N1JP56L/ref=zg_bs_g_57694031_d_sccl_14/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/617fLi3CcKL._AC_UL900_SR900,600_.jpg",40.99,50071,4.6
Cuisine et Maison,Ameublement et décoration,VISION - Drap Housse 140 x 190 cm - Coloris: Blanc - 100% Coton: 57 Fils - 4 Coins élastiques,https://www.amazon.fr/Vision-Housse-Blanc-140x190cm-Coton/dp/B00GMM8T1W/ref=zg_bs_g_57694031_d_sccl_15/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71GvB16NeUL._AC_UL900_SR900,600_.jpg",16.49,17948,4.4
Cuisine et Maison,Ameublement et décoration,Lovely CASA - Taie de traversin -Taille 45x185 cm - 100% Coton certifié Oeko-Tex - Excellente qualité - Couleur Ardoise -Modèle Eden - Linge de Lit pour Maison - Doux et Confortable - Unisexe - Mixte,https://www.amazon.fr/Lovely-Casa-traversin-Excellente-Confortable/dp/B0BPSQSB16/ref=zg_bs_g_57694031_d_sccl_16/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/51xmeKYlvZL._AC_UL900_SR900,600_.jpg",6.13,1629,4.4
Cuisine et Maison,Ameublement et décoration,"Pommeau de Duche avec tuyau 1,6M, YEAUPE PRO Pommeau de Douche Economie Deau, Pommeau de Douche Anti calcaire Grand (⌀130mm), Pommeau de Douche Haute Pression avec 6 types de jets, Chrome",https://www.amazon.fr/YEAUPE-PRO-Economie-calcaire-Pression/dp/B0BVZ671NJ/ref=zg_bs_g_57694031_d_sccl_17/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71db60GiqeL._AC_UL900_SR900,600_.jpg",17.99,4570,4.5
Cuisine et Maison,Ameublement et décoration,SWEET NIGHT Sweetnight - Protège Matelas 140x190 cm | Alèse Imperméable et Micro Respirante | Souple et Silencieux | Lavable à 90°C,https://www.amazon.fr/Sweetnight-Prot%C3%A8ge-Imperm%C3%A9able-Respirante-Silencieux/dp/B005QKZLQC/ref=zg_bs_g_57694031_d_sccl_18/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71ex3MVOFHL._AC_UL900_SR900,600_.jpg",20.14,20953,4.5
Cuisine et Maison,Ameublement et décoration,SOHYGGE – Couette 140x200 Enfant Tempérée pour lit 1 Personne - 100% Microfibre – Edredon Couverture Chaude 100% Microfibre 300 GSM – 4 Saisons et Hiver 140 x 200 cm Anti-acariens,https://www.amazon.fr/SOHYGGE-Temp%C3%A9r%C3%A9e-Microfibre-Couverture-Anti-acariens/dp/B0BTZ49LK4/ref=zg_bs_g_57694031_d_sccl_19/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/41vVCzpJMkL._AC_UL900_SR900,600_.jpg",29.99,234,4.7
Cuisine et Maison,Ameublement et décoration,"Todocama - Drap Housse réglable en Microfibre brossé Extra Doux. Bleu Grisé, Lit 120 x 190/200 cm",https://www.amazon.fr/Todocama-Housse-r%C3%A9glable-Microfibre-bross%C3%A9/dp/B0BKQGVJMM/ref=zg_bs_g_57694031_d_sccl_20/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/517NggtbiGL._AC_UL900_SR900,600_.jpg",10.99,3027,4.3
Cuisine et Maison,Ameublement et décoration,Cadeau Original & Amusant | Patate Positive en français | Idée drôle | Anniversaires Homme Femme Couple Ado | Objet Collègue Bureau | Peluche Insolite | Gadget Utile Rigolo| Poupée Humour & Motivation,https://www.amazon.fr/Original-Positive-fran%C3%A7ais-Anniversaires-Motivation/dp/B0CND3DPJZ/ref=zg_bs_g_57694031_d_sccl_21/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71ZWKBmt6gL._AC_UL900_SR900,600_.jpg",11.99,335,4.4
Cuisine et Maison,Ameublement et décoration,"SOUPLINE Sachets Armoire Rafraîchissants, Parfum Air Frais, Désodorise et Parfume votre Linge Pendant 6 Semaines, Neutralise les Odeurs, 1 Boîte avec 3 Sachets",https://www.amazon.fr/SOUPLINE-d%C3%A9sodorise-Semaines-Neutralise-comprenant/dp/B07RZLPH8Y/ref=zg_bs_g_57694031_d_sccl_22/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/81qt6pMm0IL._AC_UL900_SR900,600_.jpg",3.15,6854,4.5
Cuisine et Maison,Ameublement et décoration,Puressentiel - Huile Essentielle Lavandin Super - Bio - 100% pure et naturelle - HEBBD - 10 ml,https://www.amazon.fr/Puressentiel-Huile-Essentielle-lavabo-Super/dp/B006JCWK2E/ref=zg_bs_g_57694031_d_sccl_23/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71IPIRpMk-L._AC_UL900_SR900,600_.jpg",3.04,3621,4.7
Cuisine et Maison,Ameublement et décoration,Dreamzie Taie Oreiller 65x65 Coton Renforcé (Set de 2) - Anthracite - Tissage serré de 57 Fils/cm² - Taie Oreiller 65 x 65 cm- Certifié Oeko Tex,https://www.amazon.fr/Taie-Oreiller-65x65-Coton-Renforc%C3%A9/dp/B0BWNGBK22/ref=zg_bs_g_57694031_d_sccl_24/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71Zmz+eB7gL._AC_UL900_SR900,600_.jpg",17.99,4075,4.3
Cuisine et Maison,Ameublement et décoration,"PONY DANCE Rideau Occultant - Lot de 2 Rideau Thermique Isolant Anti Chaleur 140x240 Tenture Opaque à Oeillets Isolation Lumiere anti UV Decoration Chambre Maison Salon Intérieurs, Gris",https://www.amazon.fr/PONY-DANCE-Rideau-Occultant-Decoration/dp/B01IAX26MI/ref=zg_bs_g_57694031_d_sccl_25/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61mXXMOm1pL._AC_UL900_SR900,600_.jpg",27.99,44055,4.5
Cuisine et Maison,Ameublement et décoration,"Utopia Bedding Pillow (Lot de 2), 60 x 60 cm, Oreiller de Sommeil, Coussin Respirant et Doux (Blanc)",https://www.amazon.fr/Utopia-Bedding-Oreillers-Rembourrage-Polyester/dp/B0BCQHK9LQ/ref=zg_bs_g_57694031_d_sccl_26/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/51w+MXmanNL._AC_UL900_SR900,600_.jpg",26.99,10636,4.4
Cuisine et Maison,Ameublement et décoration,Puressentiel - Huile Essentielle Lavande Vraie - Bio - 100% pure et naturelle - HEBBD - 10 ml (lot de 1),https://www.amazon.fr/Puressentiel-Huile-Essentielle-Lavande-Vraie/dp/B0052EDY4S/ref=zg_bs_g_57694031_d_sccl_27/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61b0WaDXOeL._AC_UL900_SR900,600_.jpg",5.1,8632,4.6
Cuisine et Maison,Ameublement et décoration,"Utopia Bedding Couette 220 x 240 cm, Couette légère avec Rembourrage en Polyester pour 4 Saisons, Microfibre 2 Personnes (Blanc)",https://www.amazon.fr/Utopia-Bedding-L%C3%A9g%C3%A8re-Couette-Hypoallerg%C3%A9nique/dp/B07KK7FZ15/ref=zg_bs_g_57694031_d_sccl_28/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61WtC-pya7L._AC_UL900_SR900,600_.jpg",31.99,19215,4.4
Cuisine et Maison,Ameublement et décoration,P'tit lit - Protège Matelas Bébé Anti Acariens | Alèse Imperméable 60x120 cm - Absorbant et Silencieux - Oeko Tex®,https://www.amazon.fr/Ptit-Lit-Prot%C3%A8ge-matelas-Imperm%C3%A9able-Anti-acariens/dp/B00JKEK1O2/ref=zg_bs_g_57694031_d_sccl_29/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/81AlP9CmQKL._AC_UL900_SR900,600_.jpg",12.9,8836,4.7
