first_cat,second_cat,titles,product_link,pictures,prices,nb_votes,votes
Jeux vidéo,Abonnements et cartes prépayées,10€ Carte Cadeau PlayStation | Compte PSN français uniquement [Code par Email],https://www.amazon.fr/Cadeau-PlayStation-Compte-fran%C3%A7ais-uniquement/dp/B00I3P3BRS/ref=zg_bs_g_14135877031_d_sccl_1/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61fvwNwFLkL._AC_UL900_SR900,600_.jpg",10.0,0,4.6
Jeux vidéo,Abonnements et cartes prépayées,Xbox Carte Cadeau 10 EUR [Code Digital],https://www.amazon.fr/Cr%C3%A9dit-Xbox-Live-EUR-t%C3%A9l%C3%A9charger/dp/B0186L0UIG/ref=zg_bs_g_14135877031_d_sccl_2/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61J4f-DZV3L._AC_UL900_SR900,600_.jpg",10.0,0,4.5
Jeux vidéo,Abonnements et cartes prépayées,Carte Nintendo eShop 15 EUR | Code de téléchargement (EU) | Switch,https://www.amazon.fr/Nintendo-eShop-Carte-cadeau-EUR/dp/B07VDM7CWR/ref=zg_bs_g_14135877031_d_sccl_3/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61Ds2tygNiL._AC_UL900_SR900,600_.jpg",15.0,0,4.7
Jeux vidéo,Abonnements et cartes prépayées,10€ Carte Cadeau PlayStation pour PlayStation Plus | Compte PSN français uniquement [Code par Email],https://www.amazon.fr/Abonnement-PlayStation-Essential-Fran%C3%A7ais-T%C3%A9l%C3%A9chargement/dp/B0B27W652Q/ref=zg_bs_g_14135877031_d_sccl_4/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/615GL064h3L._AC_UL900_SR900,600_.jpg",10.0,0,4.5
Jeux vidéo,Abonnements et cartes prépayées,Carte Nintendo eShop 25 EUR | Code de téléchargement (EU) | Switch,https://www.amazon.fr/Nintendo-eShop-Carte-cadeau-EUR/dp/B07VBGSFPQ/ref=zg_bs_g_14135877031_d_sccl_5/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61SHk6khcvL._AC_UL900_SR900,600_.jpg",25.0,0,4.7
Jeux vidéo,Abonnements et cartes prépayées,20€ Carte Cadeau PlayStation pour PlayStation Plus | Compte PSN français uniquement [Code par Email],https://www.amazon.fr/Abonnement-PlayStation-Premium-Fran%C3%A7ais-T%C3%A9l%C3%A9chargement/dp/B0B42SLKZF/ref=zg_bs_g_14135877031_d_sccl_6/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61Ew-tf4umL._AC_UL900_SR900,600_.jpg",20.0,0,4.6
Jeux vidéo,Abonnements et cartes prépayées,Abonnement Nintendo Switch Online - 12 Mois | Nintendo Switch - Version digitale/code | Code jeu à télécharger,https://www.amazon.fr/Abonnement-Nintendo-Switch-Online-t%C3%A9l%C3%A9charger/dp/B07BBCGRC6/ref=zg_bs_g_14135877031_d_sccl_7/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71ZyGcJyPeL._AC_UL900_SR900,600_.jpg",19.99,0,4.6
Jeux vidéo,Abonnements et cartes prépayées,Carte Nintendo eShop 50 EUR | Code de téléchargement (EU) | Switch,https://www.amazon.fr/Nintendo-eShop-Carte-cadeau-EUR/dp/B07VDM78J9/ref=zg_bs_g_14135877031_d_sccl_8/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61Wm9CindBL._AC_UL900_SR900,600_.jpg",50.0,0,4.7
Jeux vidéo,Abonnements et cartes prépayées,Xbox Game Pass Core | 6 mois Abonnement | Code jeu à télécharger,https://www.amazon.fr/Abonnement-Xbox-Live-Gold-mois/dp/B0759ZT1KH/ref=zg_bs_g_14135877031_d_sccl_9/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/51LzF-OaFsL._AC_UL900_SR900,600_.jpg",29.99,0,4.5
Jeux vidéo,Abonnements et cartes prépayées,Abonnement Nintendo Switch Online - 12 Mois - Abonnement familial | Switch - Version digitale/code,https://www.amazon.fr/Abonnement-Nintendo-Switch-Online-familial/dp/B07LBBC5G1/ref=zg_bs_g_14135877031_d_sccl_10/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71QXpAyunvL._AC_UL900_SR900,600_.jpg",34.99,0,4.6
