cat1,cat2,cat2_links
Amazon Renewed,Renewed Camera & Photo,https://www.amazon.fr/gp/bestsellers/amazon-renewed/17327964031/ref=zg_bs_nav_amazon-renewed_1
Amazon Renewed,Renewed Computers & Accessories,https://www.amazon.fr/gp/bestsellers/amazon-renewed/17327958031/ref=zg_bs_nav_amazon-renewed_1
Amazon Renewed,Renewed Home & Kitchen,https://www.amazon.fr/gp/bestsellers/amazon-renewed/15806289031/ref=zg_bs_nav_amazon-renewed_1
Amazon Renewed,Renewed Laptops,https://www.amazon.fr/gp/bestsellers/amazon-renewed/17327959031/ref=zg_bs_nav_amazon-renewed_1
Amazon Renewed,Renewed Office Products,https://www.amazon.fr/gp/bestsellers/amazon-renewed/15806295031/ref=zg_bs_nav_amazon-renewed_1
Amazon Renewed,Renewed Smartphones,https://www.amazon.fr/gp/bestsellers/amazon-renewed/27176990031/ref=zg_bs_nav_amazon-renewed_1
Amazon Renewed,Renewed Tablets,https://www.amazon.fr/gp/bestsellers/amazon-renewed/17327960031/ref=zg_bs_nav_amazon-renewed_1
Amazon Renewed,Renewed Video Games,https://www.amazon.fr/gp/bestsellers/amazon-renewed/17327965031/ref=zg_bs_nav_amazon-renewed_1
Animalerie,Alimentation,https://www.amazon.fr/gp/bestsellers/pet-supplies/92039525031/ref=zg_bs_nav_pet-supplies_1
Animalerie,Aquariophilie,https://www.amazon.fr/gp/bestsellers/pet-supplies/1981900031/ref=zg_bs_nav_pet-supplies_1
Animalerie,Bassins d'agrément,https://www.amazon.fr/gp/bestsellers/pet-supplies/2036896031/ref=zg_bs_nav_pet-supplies_1
Animalerie,Chats,https://www.amazon.fr/gp/bestsellers/pet-supplies/1981902031/ref=zg_bs_nav_pet-supplies_1
Animalerie,Chevaux,https://www.amazon.fr/gp/bestsellers/pet-supplies/2036872031/ref=zg_bs_nav_pet-supplies_1
Animalerie,Chiens,https://www.amazon.fr/gp/bestsellers/pet-supplies/1981901031/ref=zg_bs_nav_pet-supplies_1
Animalerie,Insectes,https://www.amazon.fr/gp/bestsellers/pet-supplies/2036888031/ref=zg_bs_nav_pet-supplies_1
Animalerie,Oiseaux,https://www.amazon.fr/gp/bestsellers/pet-supplies/1981903031/ref=zg_bs_nav_pet-supplies_1
Animalerie,Oiseaux et animaux sauvages,https://www.amazon.fr/gp/bestsellers/pet-supplies/2036519031/ref=zg_bs_nav_pet-supplies_1
Animalerie,Petits animaux,https://www.amazon.fr/gp/bestsellers/pet-supplies/1981904031/ref=zg_bs_nav_pet-supplies_1
Animalerie,Reptiles et amphibiens,https://www.amazon.fr/gp/bestsellers/pet-supplies/2036912031/ref=zg_bs_nav_pet-supplies_1
Appareils Amazon et Accessoires,Accessoires pour appareils Amazon,https://www.amazon.fr/gp/bestsellers/amazon-devices/838317031/ref=zg_bs_nav_amazon-devices_1
Appareils Amazon et Accessoires,Appareils Amazon,https://www.amazon.fr/gp/bestsellers/amazon-devices/838795031/ref=zg_bs_nav_amazon-devices_1
Applis et Jeux,Achats,https://www.amazon.fr/gp/bestsellers/mobile-apps/9481634031/ref=zg_bs_nav_mobile-apps_1
Applis et Jeux,Actualités,https://www.amazon.fr/gp/bestsellers/mobile-apps/9481583031/ref=zg_bs_nav_mobile-apps_1
Applis et Jeux,Alimentation et gastronomie,https://www.amazon.fr/gp/bestsellers/mobile-apps/9481599031/ref=zg_bs_nav_mobile-apps_1
Applis et Jeux,Cinéma et télévision,https://www.amazon.fr/gp/bestsellers/mobile-apps/9481595031/ref=zg_bs_nav_mobile-apps_1
Applis et Jeux,Communication,https://www.amazon.fr/gp/bestsellers/mobile-apps/9481590031/ref=zg_bs_nav_mobile-apps_1
Applis et Jeux,Enfants,https://www.amazon.fr/gp/bestsellers/mobile-apps/9481604031/ref=zg_bs_nav_mobile-apps_1
Applis et Jeux,Enseignement,https://www.amazon.fr/gp/bestsellers/mobile-apps/9481597031/ref=zg_bs_nav_mobile-apps_1
Applis et Jeux,Entreprise,https://www.amazon.fr/gp/bestsellers/mobile-apps/9481588031/ref=zg_bs_nav_mobile-apps_1
Applis et Jeux,Finance,https://www.amazon.fr/gp/bestsellers/mobile-apps/9481646031/ref=zg_bs_nav_mobile-apps_1
Applis et Jeux,Gadgets,https://www.amazon.fr/gp/bestsellers/mobile-apps/9481585031/ref=zg_bs_nav_mobile-apps_1
Applis et Jeux,Hobbies et style de vie,https://www.amazon.fr/gp/bestsellers/mobile-apps/9481616031/ref=zg_bs_nav_mobile-apps_1
